Date,User,Message
2026-01-07 11:31:24,"Saidjalol","Saidjalol invited Shoaib."
2026-01-07 11:31:28,"Saidjalol","okey I did"
2026-01-07 11:31:37,"Kor Tugii","Thank you"
2026-01-07 12:14:46,"광협 KwangHyeop","@Kor Hieu The springs I ordered arrived at guard's office.
Please take it from there when you finish your lunch."
2026-01-07 12:36:14,"Kor Hieu","Okay, thank you"
2026-01-07 15:54:23,"Shoaib","@Ammad (Korea) 
Please summarise the GUI issue you are facing.

@Saidjalol and @Sammo | ثمرہ | 삼라 
Please give your analysis on this issue."
2026-01-07 15:57:09,"Shoaib","@Ammad (Korea) @Saidjalol @Sammo | ثمرہ | 삼라 

Please give me
Tailscale IP
Username
Password
Log files address for framework and GUI. "
2026-01-07 15:58:04,"Ammad (Korea)","2 Product images are not shown.
Observations,
1. Product details are changed images disappear
2. During registeration previous step button  are used, images are not displayed. "
2026-01-07 15:59:52,"Ammad (Korea)","Ip 100.69.170.79
User name: gpuadmin
Password: 1"
2026-01-07 16:00:07,"Sammo | ثمرہ | 삼라","Can you please share those products?"
2026-01-07 16:00:46,"Ammad (Korea)","Name or images ?"
2026-01-07 16:00:51,"Sammo | ثمرہ | 삼라","Name"
2026-01-07 16:01:25,"Ammad (Korea)","srp-s300-bzr
380V"
2026-01-07 16:05:55,"Sammo | ثمرہ | 삼라","For 380V, The keyFolder value in DB is, 380

Its reading this thumbnail image:  /home/gpuadmin/Desktop/EVERINT/TrainingImage/380/1.webp

But on system the 380 Folder doesnt exist"
2026-01-07 16:08:58,"Sammo | ثمرہ | 삼라","Photo"
2026-01-07 16:09:06,"Sammo | ثمرہ | 삼라","Same for the other one, The Folder doesnt exist on system"
2026-01-07 16:11:12,"Shoaib","Who is creating this folder and saving images ?"
2026-01-07 16:11:27,"Shoaib","@Ammad (Korea) 
@Tan 
@Saidjalol 
@Sammo | ثمرہ | 삼라 "
2026-01-07 16:13:22,"Sammo | ثمرہ | 삼라","Photo"
2026-01-07 16:13:40,"Sammo | ثمرہ | 삼라","In EditProductModal, When product details are saved, I think we dont need this part anymore, @Tan "
2026-01-07 16:14:00,"Sammo | ثمرہ | 삼라","Because we always keep the images in same folder as original one"
2026-01-07 16:14:25,"Tan","But when we chang the product name we can not see the image "
2026-01-07 16:14:33,"Tan","This issue is already fix?"
2026-01-07 16:14:41,"Shoaib","No"
2026-01-07 16:15:26,"Shoaib","Tell me if I understand correctly.

Product is registered by name 380
dir is created by 380 and DB gets the key value 380

After renaming 380 to 380V
DB still has key value 380
But dir is renamed to 380V"
2026-01-07 16:15:27,"Sammo | ثمرہ | 삼라","Changing product name will not affect the images folder path. That's why we implemented the keyFolder"
2026-01-07 16:15:28,"Tan","When ww click to capture image button backend or frontend create a folder?"
2026-01-07 16:15:50,"Sammo | ثمرہ | 삼라","Yes"
2026-01-07 16:16:13,"Shoaib","Who is managing the rename process ?
who renames the directory ?"
2026-01-07 16:17:09,"Shoaib","@Tan or @Sammo | ثمرہ | 삼라 
Are you renaming the directory?"
2026-01-07 16:18:02,"Tan","No i did no rename directory of this product"
2026-01-07 16:18:34,"Sammo | ثمرہ | 삼라","In Edit Product Modal,  On saving, This part  of code renames the folder with updated product title"
2026-01-07 16:19:14,"Shoaib","Okay. Whose code is this?"
2026-01-07 16:19:25,"Shoaib","Who is the code owner for this ?"
2026-01-07 16:23:58,"Shoaib","@Sammo | ثمرہ | 삼라 
Did you implement it?
or
@Tan 
Did you implement it?"
2026-01-07 16:24:45,"Sammo | ثمرہ | 삼라","Not me"
2026-01-07 16:26:43,"Kor Hieu","Video"
2026-01-07 16:26:50,"Kor Hieu","Video"
2026-01-07 16:27:25,"Kor Hieu","@Shoaib , even they slowed the conveyor, the gap between 2 pallets are randomly"
2026-01-07 16:28:10,"Shoaib","@Kor Hieu 
Due to random gap, what issue are we facing?"
2026-01-07 16:28:19,"Shoaib","@Tan 
Can you reply ?"
2026-01-07 16:28:38,"Kor Hieu","The pressing arm might not be able to press properly"
2026-01-07 16:28:49,"Kor Hieu","And the vision can be failed"
2026-01-07 16:29:12,"Kor Hieu","Both issues have been faced already"
2026-01-07 16:29:14,"Shoaib","We have the arm extended on either side of the product, so for this product it is okay.
But for a bigger product, there might be some issue.

Is that right?"
2026-01-07 16:29:33,"Kor Hieu","Right"
2026-01-07 16:29:53,"Tan","Not me"
2026-01-07 16:29:53,"Shoaib","Okay. Let me wind up the GUI issue and then let's discuss this. "
2026-01-07 16:30:00,"Kor Hieu","Sure"
2026-01-07 16:30:11,"Shoaib","@Saidjalol 
Did you implement this code?"
2026-01-07 16:31:33,"Shoaib","Photo"
2026-01-07 16:32:15,"Shoaib","Photo"
2026-01-07 16:32:39,"Shoaib","@Tan 
You added this code 3 months ago.

Please disable this rename logic. 
That would fix the GUI issue. "
2026-01-07 16:33:46,"Shoaib","I have renamed the dir 

380V -> 380

But for SRP-S300-BZR
There are 2 directories

- SRP-S300-BZR_20251229_100057
- SRP-S300-BZR_20251229_103602

Which one should be renamed to SRP-S300-BZR?"
2026-01-07 16:34:26,"Tan","I think someone use my name to push in server, this code in GUi how can i add this code"
2026-01-07 16:36:42,"Kor Hieu","@광협 KwangHyeop, we want to run production on some products in screw driver side, could you please ask the manager to provide us some?"
2026-01-07 16:37:13,"Ammad (Korea)","any folder will do"
2026-01-07 16:37:23,"Shoaib","I don't think anyone can use your github account without your permission.
If you have left it logged on to a system, only then someone can use it. 

In future, everyone must be careful. 
This is unacceptable to say that someone else used your account.
Otherwise, how can we know who is the owner for a part of code?"
